Date,Player_1,Player_2,Winner
2015-01-05,Duckworth J.,Simon G.,Duckworth J.
2015-01-05,Benneteau J.,Kokkinakis T.,Kokkinakis T.
2015-01-05,Chardy J.,Golubev A.,Chardy J.
2015-01-05,Querrey S.,Tomic B.,Tomic B.
2015-01-06,Kukushkin M.,Copil M.,Kukushkin M.
2015-01-06,Anderson K.,Kubot L.,Kubot L.
2015-01-06,Johnson S.,Matosevic M.,Johnson S.
2015-01-06,Kudla D.,Nieminen J.,Nieminen J.
2015-01-06,Klizan M.,Melzer J.,Klizan M.
2015-01-06,Williams R.,Millman J.,Millman J.
2015-01-06,Dolgopolov O.,Berlocq C.,Dolgopolov O.
2015-01-06,Hewitt L.,Groth S.,Groth S.
2015-01-07,Klizan M.,Dolgopolov O.,Klizan M.
2015-01-07,Johnson S.,Nishikori K.,Nishikori K.
2015-01-07,Dimitrov G.,Chardy J.,Dimitrov G.
2015-01-07,Kokkinakis T.,Tomic B.,Tomic B.
2015-01-08,Raonic M.,Kukushkin M.,Raonic M.
2015-01-08,Kubot L.,Groth S.,Groth S.
2015-01-08,Duckworth J.,Nieminen J.,Duckworth J.
2015-01-08,Millman J.,Federer R.,Federer R.
2015-01-09,Raonic M.,Groth S.,Raonic M.
2015-01-09,Klizan M.,Dimitrov G.,Dimitrov G.
2015-01-09,Nishikori K.,Tomic B.,Nishikori K.
2015-01-09,Duckworth J.,Federer R.,Federer R.
2015-01-10,Raonic M.,Nishikori K.,Raonic M.
2015-01-10,Dimitrov G.,Federer R.,Federer R.
2015-01-11,Federer R.,Raonic M.,Federer R.
2015-01-05,Roger-Vasselin E.,Muller G.,Muller G.
2015-01-05,Coric B.,Haase R.,Coric B.
2015-01-06,Sijsling I.,Ymer E.,Ymer E.
2015-01-06,Berankis R.,Vanni L.,Berankis R.
2015-01-06,Prashanth V.,Vesely J.,Vesely J.
2015-01-06,Bedene A.,Lacko L.,Bedene A.
2015-01-06,Ramanathan R.,Ito T.,Ito T.
2015-01-06,Garcia-Lopez G.,Donskoy E.,Garcia-Lopez G.
2015-01-06,Gonzalez A.,Carreno-Busta P.,Carreno-Busta P.
2015-01-06,Lu Y.H.,Devvarman S.,Lu Y.H.
2015-01-06,Falla A.,Gojowczyk P.,Gojowczyk P.
2015-01-07,Goffin D.,Berankis R.,Goffin D.
2015-01-07,Ymer E.,Muller G.,Muller G.
2015-01-07,Haider-Maurer A.,Vesely J.,Haider-Maurer A.
2015-01-07,Coric B.,Wawrinka S.,Wawrinka S.
2015-01-08,Garcia-Lopez G.,Ito T.,Garcia-Lopez G.
2015-01-08,Carreno-Busta P.,Lu Y.H.,Lu Y.H.
2015-01-08,Bautista R.,Gojowczyk P.,Bautista R.
2015-01-08,Lopez F.,Bedene A.,Bedene A.
2015-01-09,Bedene A.,Garcia-Lopez G.,Bedene A.
2015-01-09,Lu Y.H.,Bautista R.,Bautista R.
2015-01-09,Goffin D.,Haider-Maurer A.,Goffin D.
2015-01-09,Muller G.,Wawrinka S.,Wawrinka S.
2015-01-10,Bedene A.,Bautista R.,Bedene A.
2015-01-10,Goffin D.,Wawrinka S.,Wawrinka S.
2015-01-11,Wawrinka S.,Bedene A.,Wawrinka S.
2015-01-05,Becker B.,Bolelli S.,Bolelli S.
2015-01-05,Dodig I.,Safwat M.,Dodig I.
2015-01-05,Andujar P.,Gasquet R.,Gasquet R.
2015-01-05,Brown D.,Lorenzi P.,Brown D.
2015-01-05,Gabashvili T.,Verdasco F.,Verdasco F.
2015-01-05,Karlovic I.,Rosol L.,Karlovic I.
2015-01-06,Istomin D.,Berdych T.,Berdych T.
2015-01-06,Seppi A.,Mayer L.,Seppi A.
2015-01-06,Monaco J.,Kavcic B.,Kavcic B.
2015-01-06,Basilashvili N.,Youzhny M.,Basilashvili N.
2015-01-06,Lajovic D.,Djokovic N.,Djokovic N.
2015-01-06,Struff J.L.,Kohlschreiber P.,Struff J.L.
2015-01-06,Nadal R.,Berrer M.,Berrer M.
2015-01-06,Souza J.,Jaziri M.,Souza J.
2015-01-06,De Bakker T.,Ferrer D.,Ferrer D.
2015-01-07,Karlovic I.,Basilashvili N.,Karlovic I.
2015-01-07,Struff J.L.,Brown D.,Brown D.
2015-01-07,Seppi A.,Souza J.,Seppi A.
2015-01-07,Verdasco F.,Ferrer D.,Ferrer D.
2015-01-07,Djokovic N.,Stakhovsky S.,Djokovic N.
2015-01-07,Berrer M.,Dodig I.,Dodig I.
2015-01-07,Berdych T.,Kavcic B.,Berdych T.
2015-01-07,Bolelli S.,Gasquet R.,Gasquet R.
2015-01-08,Ferrer D.,Brown D.,Ferrer D.
2015-01-08,Djokovic N.,Karlovic I.,Karlovic I.
2015-01-08,Berdych T.,Gasquet R.,Berdych T.
2015-01-08,Dodig I.,Seppi A.,Seppi A.
2015-01-09,Ferrer D.,Karlovic I.,Ferrer D.
2015-01-09,Seppi A.,Berdych T.,Berdych T.
2015-01-10,Ferrer D.,Berdych T.,Ferrer D.
2015-01-12,Delbonis F.,Mannarino A.,Mannarino A.
2015-01-12,Struff J.L.,Thiem D.,Struff J.L.
2015-01-12,Sousa J.,Johnson S.,Johnson S.
2015-01-12,De Schepper K.,Giraldo S.,De Schepper K.
2015-01-12,Statham J.,Falla A.,Falla A.
2015-01-13,Carreno-Busta P.,Coric B.,Carreno-Busta P.
2015-01-13,Bellucci T.,Vesely J.,Vesely J.
2015-01-13,Young D.,Soeda G.,Young D.
